Video_ID,Title,Published_date,Views,Likes,Comments
qUK5Vk4NvBw,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2173,123,5
cnqTU6eJwH0,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5289,270,67
k8YxyrcAXJs,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11659,509,112
VvnOXDCVm8k,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,7748,296,32
68GGPK3WaqI,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,29255,1078,29
S4Lei5mOppc,How I Learned to Learn.,2021-07-31,40083,2004,199
tG_UW_p0UqE,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,8225,467,49
143WWA5Sy9k,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2348,93,30
s1gD35Z4eUc,Why are APIs Important for Data Science?,2021-07-09,8187,406,92
nrEJGGxcoTc,Is Your Phone REALLY Listening to You?,2021-07-03,4845,274,118
KfpOuSH9gDc,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11291,501,121
sICJ6a2wX5g,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3747,199,38
iiSZqsQKNX8,#66DaysOfData - What is it? #shorts,2021-06-11,7655,331,53
IoUWD1h6xUs,A Quick Data Science Project Tip! #SHORTS,2021-06-03,14116,793,89
7JCterBrcvk,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7194,383,199
KU__lDJj5iU,How Data Science Projects Pay Off,2021-05-22,9927,574,146
8nTmuKI2oyA,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9957,465,136
SaWxVk7rDp4,What is a lambda function (python)? #shorts,2021-05-13,10439,672,47
n7kjelw9s2w,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,17658,805,57
8Pi36Nj6P9A,What is Pandas? (Data & Data Science) #shorts,2021-04-30,16891,739,88
hOUrxTeBJQc,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,65343,2978,280
-ONQ628CXKQ,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22161,648,90
sHRq-LshG3U,Why You Probably Won't Become a Data Scientist,2021-04-09,123775,3616,478
EMq4PH7PCeA,How to Go From Data Analyst to Data Scientist,2021-04-02,47304,1344,175
BlSrorP32WM,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3788,137,89
pPfw2fzwNiM,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,14131,308,106
hcHSSyHbgMQ,My Regrets as a Data Science Student,2021-03-12,22359,825,112
ITAxTid_1YU,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3740,194,83
fU3DOXjwufg,What is the Future of my Comment Leaderboard Project?,2021-02-26,5409,198,81
tJI-1mHeXoA,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,5981,162,51
SVtRsDhHlDk,Why I Quit Data Science,2021-02-12,102430,2309,347
OtqQYqRNDGI,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,8936,415,115
uic34RTaI-w,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6874,293,126
GO420aMtHfk,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8259,272,52
KQ80oD_boBM,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,18584,639,134
r-DR9HBaipU,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,31089,1041,147
qV_AlRwhI3I,What is the #66DaysOfData?,2020-12-26,63963,2162,208
41Clrh6nv1s,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,129004,5926,505
YR9Faf1uZDg,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10133,380,136
myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22369,705,326
ji7DtgUeKCI,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,23543,743,166
4039x4r-hGE,6 Lessons from #66DaysOfData,2020-11-13,6557,339,95
78LjdAAw0wA,100K Channel Update + AMA Stream!,2020-11-12,2313,128,24
yUrrf3Pm33s,Find a Data Science Project With These 3 Techniques,2020-11-06,14933,643,101
domVw8isGOI,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,22484,602,154
_0rHU6qAQe0,git for Data Science Made Simple... (Hopefully),2020-10-23,15654,752,92
tnpV1etgcxs,The PODCAST you might have asked for?,2020-10-19,1988,94,44
Uf0dO-pgOrk,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6488,444,113
N97MhZEp2UQ,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,11757,359,48
1Ir1NgCuI0Y,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5848,128,62
d6FeV8WXPWY,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8816,485,81
WRF_dKZ_i24,Sh*t Data Scientists Say (Parody),2020-10-05,9022,570,142
UpaEjBOMNqs,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8405,362,93
UKuK2fXu_dU,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6877,283,61
Ft4GVkQQtgk,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10417,275,69
BBDiadC8BvE,5 Essential Data Science Projects for Your Portfolio,2020-09-26,64998,2896,204
7VcdvSyoxnc,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4985,191,66
8Vxjp2KVHqs,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9673,398,58
Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7140,249,34
omdhf8d53FM,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5005,192,56
apf6A3Nstm8,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3928,153,35
jf3j0lWmFPU,The 5 Pillars of Success I Live By,2020-09-11,9944,869,153
g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1862,77,25
rLawTH--l2Y,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3816,158,43
-pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11191,717,145
